User_name,Review_date,Title,Review,Review_Rating,Movie_name
surajkailase,25 June 2022,A good romantic movie with a modern touch!,"Recently there are very less good romantic movies. Hridiyam feels good one of them. A decent story, well acted, good screenplay and direction. It can be described a normal romantic movie with a slight modern touch to it.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",7/10,Hridayam
vihangadulaj97,1 March 2022,Arun-Darshana-Nithya,"I feel bad that I missed the experience of cinema hall for this movie.This movie may not excite you with lots of twists and turns or thrilling elements as a typical movie does, Hridayam is all about human emotions, such as love, passion, ambition, sorrow, despair, etc...
All actors casted have done justice to their roles. Music was great, though there are many songs, they mostly blend in with visuals on screen and the flow of the story, so it doesn't feel overwhelming.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Hridayam
nikhilnssn,27 February 2022,Watch it for Pranav-Kalyani-Drashana,"Pranav- Great. He improved a lot and learned so much, especially facial expression &emotions
Kalyani- Great acting
Pranav-Kalyani jodi is awesome to watch
Darshana- Great Acting too.Film was bit lengthy. Some of the scenes coule have been avoided.Vineeth is brilliant director but he didnt do well in few places. He tried to make his life as it is on the screen, without thinking about audience and whether people will like it or not.Too much music. Not all songs are good except 2-3. Every scene they tried to have music and it was overkill. At places they wven repeated same song again and again with same lyrics.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",8/10,Hridayam
anveshaws,13 August 2022,Finest movie with Culture and a good thriller,"1st thing to say screenplay and direction are too good. From very 1st scene you will be engaged to the story . For every 15-20 mins of story building there will be sudden thrilling scenes which make audiences keep on engaged with the story. The location are too good. Particularly the the shots in snow are too awesome. Nikhil the hero done good job. Anupama is good with in her role. Srinivas Reddy & viva Harsha comedy is decent . Anupam Kher scene is outstanding. Kala Bhirava's music is just ok. And our Main Hero LORD KRISHNA drives the entire story ,just as like driving entire Bharatam. Waiting for part 3. I hope they will come up with good story and great screenplay.
                
                    227 out of 251 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
nightblood-27667,13 August 2022,Masterpiece. Totally got my money's worth,"Was glued to the seat throughout the film. Stunning action sequences and fabulous plot development. Even though I watched with subtitles, it was a treat to the mind. Absolutely thrilled. Would love to watch again with my gang of friends.
                
                    197 out of 216 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
viratthakurr,13 August 2022,Amazing movie,"This movie is so amazing and catchy Akkini portrayed a perfect role in movie... BGM score perfect, story line not perfect but above average bwood story line, respected religious sentiments also some Indian masla too... But you need compromise with vfxs because i don't find vfx of this movie top notch as this story line demands. Thank you.. You can also watch with family there are no soch adult scene in this movie.
                
                    172 out of 182 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
amitgidh,13 August 2022,Lovely movie!!!,"Just watched this movie in Washington DC metro area and the theatre was almost house full. This movie is a mystery-thriller written on the lines of Dan Brown's novels like Da Vinci Code etc but with an Indian mythical-cultural background. I wish this movie was released Hindi dubbed in the US, as I saw the Telugu show reading subtitles :))
                
                    174 out of 185 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
ajith-04112,13 August 2022,Jai shree krishna,"This movie will touch your heart in actual if you are a sanatani because the potray of lord Krishna is so perfect that you can't doubt it actor nikhil himself said that he was not the hero of this film the actual hero of this film was LOED KRISHNA which is 100% bro but the ending scene is just out of the world eagerly waiting for third part.
                
                    159 out of 175 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
harikrishnathoka,13 August 2022,Very interesting point,"After a long time, our Indian cinema has witnessed such an epic adventurous mythological thriller. This film is shot in Dwarka ,one of the underrated pilgrimage in India. The director spotted the exact truth and tried to show it to the audience without hurting anyone's sensibilities. Acting performance and background music is the biggest plus to this film. Please guys dont miss this movie at all.
                
                    153 out of 165 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
veenaranisharma,13 August 2022,An amazing experience,"Roller coaster ride of adventure and emotions..Gripping tale of quest. A must watch movie with family. You can attach with the characters easily. Above all it shows our dharma with pride and respect.
                
                    159 out of 171 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
purushotham-33403,13 August 2022,Another masterpiece from TFI,"Awesome movie. Can't belive it is made with 30 crores budget. Story is intresting and bgm is good. Actor Nikhil made good comeback with this movie.Overall a good entertainer.
                
                    123 out of 133 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
arpitraj-13084,13 August 2022,Must watch movie 🍿🎥,"Something new and interesting. Decent first hlf and too notch second half . First half is bit slow like virkant rona but 2nd half is bang on like vikrant rona 2nd part.
                
                    101 out of 108 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
patkarmilind-85072,13 August 2022,Must watch ....,"You have to see this amazing movie or else you are missing very important things in your life the movie is so so perfect that you will not find this type of movie right now so this one is must watch movie.
                
                    94 out of 101 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
loungebrain,13 August 2022,Very beautiful and spectacular screen experience,"This movie can not be missed...
What happened to Dwarka and the truth behind the word mythology...is Kartikey 2.The movie doesn't allow for a blink of eye.
                
                    58 out of 64 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
sharmachetan-62284,13 August 2022,Overall a complete entertainer.,"With budget as low as 15 crores - karthikeya 2 has done a great job,.-Dubbing is great!-The background music is just wow!!!-Griping story.-Thriller moments.-Good performance of all actors.-VFX was used wherever required - and nothing cringy.
                
                    95 out of 106 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",9/10,Karthikeya 2
sastryml,5 October 2022,How to cash on gullibility of sentimental audiences,"While another recent Telugu movie Sitaramam is reasonably well done and deserves its success, It pains me to say Karthikeya2 becomes a money spinner without any major praiseworthy component.The hero apart from lacking any hero material lacks the basic acting skills. The mother overacts every scene, the heroine looks good but has only two or three expressions to offer. About the attempted humor if the supporting character, the less said the better. VFX stardands are no where near today's standards.Photography is okay, not necessarily the framing. The theme is catchy, dialogues are acceptable, but the connect between the scenes is gripping.Even if an inferior storyline is handled by a better director and starcast, the effect vwould have been far better.The makers hit a jackpot just because they thought of a catchy storyline.",5/10,Karthikeya 2
tarungorle-52158,13 August 2022,Fantastic movie with Hindu values,Nikhil and Anupama performance was awesome. Story is new and no flaws in direction. Second half was top notch level. Bgm score is verey very good. Another hit from tollywood.,10/10,Karthikeya 2
best-review,13 August 2022,Jai Sri Krishn,"The story has some interesting elements and a few errors.The screenplay could have been better, it should have been more convincing while dealing with fantasy elements.Dialogues and direction are okay.All Actors did some over action to create some kind of mood for the audience.Production values are good.You may watch it in theatres.. with reservations.One more hit from tollywood.",6/10,Karthikeya 2
younrer,13 August 2022,Just...AMAZING,"Director Chandoo Mondeti burst on the scene with Nikhil starrer Karthikeya. Yes, the original movie marked his debut. Now years later, he has come up with a second chapter. For the uninitiated, Karthikeya 2 has nothing to do with the first part. It is a standalone film where the main lead from the first part is on a different journey. So, Karthikeya, aka Karthik, is now a doctor and taking on a new case of sorts.
                
                    115 out of 123 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
mounishyalamarthi,14 August 2022,An interesting artifact,"It's about time to see the combination of mystery, thriller, religious, and scientific all in one movie with a perfect background score. Few hiccups on the comedy part, but Nikhil was bound to the storyline perfectly. The plot and screenplay were good. The casting could be a little better, the director hasn't used comedians very well.It's a kind of premium version of Gopichand's Sahasam movie but with a wonderful story. The last 1 hr was the heart of the movie. Definitely worth watching in the theatre if you are looking for some mystic story mixed with science and religion.
                
                    37 out of 42 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
ganeshsaikoti,13 August 2022,lord Krishna is not a mythology.Krishna is history,"The story about lord Krishna the main theme of the Krishna and his skills, storie full adventures, and unpredictable it's a great movie.Very great values show in the movie.
                
                    74 out of 79 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
abhijitmohanty-27734,13 August 2022,awsome film ever i seen karthikeya 2 great,"It's good story telling some scenes are really amazing vfx also cool all the set its a good movies awsome.great work great animation great story telling movie also make you feel another world just wow..
                
                    60 out of 65 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
nishanprtk-68431,13 August 2022,WOW very surprised,"I have not watched karthikeya part 1 but now I eagerly want to watch that movie too. This is best action-adventure film made in india with hindu religion flavour which combination is very interesting. My whole family enjoyed this movie. I hope this series will continue and we will see next part soon.
                
                    24 out of 26 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
subhash-77822,13 August 2022,Wonderful Mystery Thriller,"Movie has used Indian history well to create a good mystery thriller which picks good pace in second half. A wonderful watch and recommended for full family.
                
                    71 out of 75 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
aumesh-10866,6 October 2022,Extremely overrated,"No scriptures mention of Krishna handing over his Anklet to Uddhav before departure. The entire story is highly fictional in the name of proving how our mythology is actual historical facts, instead there were so many other factual things to prove that point. A complete letdown, my ratings 4/10!No scriptures mention of Krishna handing over his Anklet to Uddhav before departure. The entire story is highly fictional in the name of proving how our mythology is actual historical facts, instead there were so many other factual things to prove that point. A complete letdown, my ratings 4/10!No scriptures mention of Krishna handing over his Anklet to Uddhav before departure. The entire story is highly fictional in the name of proving how our mythology is actual historical facts, instead there were so many other factual things to prove that point. A complete letdown, my ratings 4/10!",4/10,Karthikeya 2
watchmovies2008,14 August 2022,10 out of 10,"What a movie yaar. Amazing story, screenplay and no unnecessary songs or item songs or skin show. Great movie and an amazing message. The way they mixed thrill seeking with story and good CGI proved that content is king and if you have a well crafted movie people will see, we do not need to force them.
                
                    22 out of 24 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
shrekcrood,13 August 2022,Superhit,"I was waiting for this movie so eagerly. Stood up the expectations. Best movie of 2022. Loved it. Superb cinematography, superb story. Flawless direction.
                
                    64 out of 67 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
mohinii-86467,13 August 2022,Worth watching it...,"This movie gives good experience while watching and it's an another masterpiece from content writer and worthy South industries they never desrepect the audience and give them the full enjoyment.In this time full of boycott and senseless story of bollywood.U can hav a wonderful experience with kartikeya 2.
                
                    87 out of 91 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
ViperSGM,14 August 2022,Lol Bollywood Fanatics are review bombing this movie,"Hahah.... Amir fanboys and some fringe from other religion are review bombing the movie. Guys don't fall for them.... its a most watch movie ... its a good movie and can be enjoyed with family.
                
                    31 out of 38 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
bibinukk,13 August 2022,Superb movie..,"What an mind blowing experience...this is another hit from tollywood.... superb movie..I will be watching it again... don't miss this movie..theatre experience is awesome...
                
                    42 out of 44 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
imruchisingh,13 August 2022,Mind blowing movie,"Kartikey 2 Just watched this movie in Washington DC metro area and the theatre was almost house full. This movie is a mystery-thriller written on the lines of Dan Brown's novels like Da Vinci Code etc but with an Indian mythical-cultural background. I wish this movie was released Hindi dubbed in the US, as I saw the Telugu show reading subtitles :))
                
                    42 out of 44 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
MandalBros-5,28 October 2022,not for ME.,"Part 1 - There's nothing to like in the film. Bad acting, full of cliché moments, so many loopholes and most importantly unnecessary and unaffective comedy dialogues. Still couldn't stop the film in between only because of the mystery. I'll say the film is bad. After finishing the first part, I had no interest in watching part 2, but had to because of its amazing responses.Part 2 - Now, no doubt part 2 is far better than part 1 but still can't say that it's brilliant. Only because of the mythological reference I was watching till the end, otherwise I would stop it in between. While watching this type of films we audiance should surprise in moments, but I had the same expression from beginning to end of the film. Only good thing I found in part 2 is the scenes with Anupam Kher. Finally, maybe this genre is not for me or it's really not a very good film, I don't know.Karthikeya Available on YouTube, MX Player, Prime Video.Karthikeya 2 Available on ZEE5.© MandalBros.",5/10,Karthikeya 2
pawanchoudhary-46895,13 August 2022,Amazing mystery moive,"Very interesting and amazing mystery moive ...
Deserving more screen ....
After a long time, our Indian cinema has witnessed such an epic adventurous mythological thriller. This film is shot in Dwarka ,one of the underrated pilgrimage in India. The director spotted the exact truth and tried to show it to the audience without hurting anyone's sensibilities. Acting performance and background music is the biggest plus to this film. Please guys dont miss this movie at all...
                
                    16 out of 17 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
routh-62337,13 August 2022,Worth paying your money.,"Its a must watch movie even with family also no issue at all. Just after seeing reviews on youtube i confirmed its a blockbuster hit. Just go with low expectation and see the magic. Have a nice day.
                
                    37 out of 39 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
v-53781,17 August 2022,Movie could be better,"Over all movie is worth to watch
But not worth for hype
Pros :
Plot
Praising Hindu mythologies
Locations
Cons:
hero dull acting
Little bit bollywood type of secularism
Although movie looked like spiritual film but what i disliked is villan character and one scene .Movie need not show case one community person as Villan to remove impression as rightist film.",6/10,Karthikeya 2
mahirajonas,13 August 2022,Best Movie On Reality,"It was great to see how Muslim destroyed indian Hindus culture and temple but secular defend them this movie show you reality that hindu gods are not myth they was and so Dwarka best film must watch.
                
                    39 out of 42 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
asardeshpande,23 August 2022,Half Baked film - needed more research,"Don't fall for the high ratings here as they are just for Hinduism and Lord Krishna around which the story is built - I really hope film makers use make more movies around our rich mythology (or history if proven conclusively) and pick up lesser known stories and events like these from the Puraanas, Vedas, etc to build mystery & fantasy movies around it.This movie tries to do that but fails - the story starts on a promising note, but falls apart very soon after - the mystery elements unfold far too easily, the villian and the doomsday theory is very flimsy and laughable. The 'telescope' thing had zero mystery. Anupam Khers cameo was pointless and does nothing to connect science and mythology. The acting overall is just about passable and the hero's ability to tame the snakes is not digestable - they do try to give some justification for it, but it's very half baked, just like the movie in general. I think some better reasearch would have done wonders to this film as both the mythology ('history') and the science angle fail to convince as there are no facts given and the audiences are just supposed to believe everything per se.(The discovery of submerged Dwarka, archeological artefacts recovered from Mahabharat, etc could have been used to make it more convincing). The VFX is both good and bad, the landscapes are surprisingly good given the budget of this film but then u don't watch a film for the landscapes do you (watch discovery channel instead) !Takes the mystery elements from Indiana Jones, National Treasure and Da Vinci Code which is not a bad thing (in this story context of course).Very generous 5 stars from me for the 'concept' alone.",5/10,Karthikeya 2
abhineet150,13 August 2022,Accept the fact South produces Original Indian films,"Watched the movie Kathikeya 2 and I must say we should now accept that Bollywood is on verge of losing its charm and we should give respect to South Indian films and call them ""The Indian Films"" which is long due.The film is completely entertaining with twistWith no promotion of this movie I went ahead and watched with little expectation and My O My.The film,script and the actor Nikhil,Anupama etc entertained me unlike the other bollywood biggies which failed to impress even with big stars in it.
                
                    20 out of 27 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",7/10,Karthikeya 2
missionvikramaditya,13 August 2022,Just watched in,"Awesome and engaging
all were like realty. Our youth should understand the importance of their culture. It is good to learn new things but also think about our culture.Indian culture is too old and the oldest in world
we must preserve it , Public go with your family.
                
                    22 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
coolrggupta,13 August 2022,Just love,"😍😍😍😍
Lovely movie
Uncovering the history & mystery of an ancient city hidden under the sea.. the city is aroung the timeline of more than 5000 BCE old..Go for it.
                
                    14 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
paashutosh-75281,13 August 2022,Mind blowing movie,"Everyone should watch this movie in theatre. Spiritual and educational thoughts are in this movie. Family friendly and have moral values of Bhagwat gita include in this movie.
                
                    12 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
patranamita-42944,13 August 2022,"EPIC ADVENTURE MOVIE GOOSEBUMPS, INDIAN INDIANA JONES 🔥","Just wow. After a long time, our Indian cinema has witnessed such an epic adventurous mythological thriller. This film is shot in Dwarka ,one of the underrated pilgrimage in India. The director spotted the exact truth and tried to show it to the audience without hurting anyone's sensibilities. Acting performance and background.
                
                    21 out of 22 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
avinash-69250,13 August 2022,Vfx top most experience,"This movie is having best vfx and bgm. It will take you into different dimension as soon as you enter theatre. All the team performed excellently. With this small budget they have done so well. Impressive story telling and suspenses. Pre interval scenes are amazing.
                
                    20 out of 21 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
stays-sniffle,13 August 2022,Makes more sense of actual Indian history which bending historians didn't want to show the world.,"I was never told of this Indian history no where in the so called decade long Indian rusty education system. I'm happy how this movie presented a serious message to me. I feel utterly disgusted of the selective history of Arabs and moghuls I was taught in my schools for 10 years.Watch it if you can.
                
                    20 out of 24 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
siddhantaditya-28511,14 August 2022,Jai shri krishna,"It is a awesome movie
I already exciting About this movie this movie is brilliant. I always know that krishna ji is alive but this movie related to snatan dharma so other. People have jealous about that.
                
                    13 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
bhushandabhade-62188,13 August 2022,Movie review,"Best movie of bollywood. This is the master peice. Also better than lal shongh chadda. This movie shows beauty of Hinduism. And respect hindu gods. I wish this movie will be biggest success of hindutva.
                
                    19 out of 20 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
amankumar-67796-27239,13 August 2022,BEST MOVIE EVER,"It's best movie ever for you just watch one time this movie I bet you watch this movie again and again Bollywood is nothing in front of South movie industry 💯💯💯💯🔥🔥🔥🔥🔥💖💖💖💖💖
                
                    15 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
veerababu-25149,13 August 2022,Blockbuster movie,"OM NAMO BHAGAVATHE VASUDEVAYA,Super massage, everybody watch in theatre, don't believe critics reviews, superb cinematography, music superb, story excellent.",10/10,Karthikeya 2
hiyak-61641,13 August 2022,Typical Indic Movie,"Awesome as expected.On the eve of 75th Independence Day, Karthikeya 2 is unintentionally a film that revolves around Mera Bharat Mahan. The film is woven around our heritage.It highlights the culture. It also stresses the disconnect between the younger generation and our history and attempts to connect them.In the end, the hero says that ""Lord Krishna is our Ancestor. Our Gods are our history.""Watch & Enjoy!!
                
                    17 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
pratikmitra-35361,13 August 2022,One of the greatest movies out there for sure.,"Impressive storytelling outstanding acting .go watch it if you want to learn something without getting board.the great Indus Civilization and Indian Culture is.
                
                    15 out of 16 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
freakysasharao,13 August 2022,Great watch,"Movie is engaging , first part is a bit slow but after interval the movie is just marvellous. Great job by all the actors especially nikkil . Last 30 minutes of the movie is really fantastic 👌
                
                    14 out of 15 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",9/10,Karthikeya 2
madhusudhanvakkalankavms,13 August 2022,Fantastic movie,"Good action good narration the movie was very good first half was slow second is the highlight of this movie
Hero nikhil acting is nice
Direction and graphics are nice
Bgm is highlight of this movie.
                
                    10 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
deepikasurapaneni,14 September 2022,"Total Letdown, overrated story, overrated actors","This movie could have gone well, if only they cut down the heroism a bit and had some good screenplay. It seems to ride the Hindu sentiment
and people love for mythology and country.The animation part of the movie is so badly done. There are so many scenes in the movie that defy logic. The whole cult thing seemed to be based on illumanati while this version of Krishna seemed to be based on da Vinci. Some dialogues are nice although they didn't make sense strung together.Bad Sanskrit and Telugu pronunciation. Paksham means 15days. The director seems to think that paksham is half a day or something. Anupama's presence is poorly utilized and is just there as eye candy.Karthikeya 1 is so much better than this dumbness.I think people just watched it because there are no other decent movies.",1/10,Karthikeya 2
maxsteel-86988,13 August 2022,"An amazing movie on snatan ancestors and our history, must watch","The movie is fabulous and for making such movies you only need spirit and you need to know our ancestors truth instead of high budget masala. Indians need to know whats our origin, who are our ancestors and how they have done tremendous work not only in art but in sciense too. All the inventions were already done by ancestors.
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
newssiptirica,13 August 2022,Best part of movie is show our culture proudly,"Movie is based upon the exploration of dwarka.Very well presented with a very appreciative music quality.Part1 was also superb which was based on exploration of snatan and destroy myths.Now it's time to take on next level in exploration.Movie is full of beautifully decorated representation of our culture with suspence and pour of good music.At last I would say ""Jay shree Krishna"".Bhagwan Krishna bless everyone.",10/10,Karthikeya 2
gellitarun,13 August 2022,What a Visual Feast it is,"Fantastic mind-blowing movie. This movie is not about people. It's about science which is beyond human mind.Cannot explain in words .... Just go and watch this Marvel.Our ticket cost is nothing in front of the knowledge we gain from the movie.You will get to know that our historical events are not myths as some fools say.This movie reminds us that Our History is real, and that Krishna , Rama and every role model are real people
who are born and walked on this land and our scriptures are not mythologies but real events.
                
                    9 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
sivathexpandable,4 September 2022,Good but not Great!,"I'm a fan of Nikhil's work so as usual I expected more from this movie...., and may be that lead to my disappointment! This part would not stand a chance against the first one!This one is plane, with a few illogical scenes here and there (not acceptable), predictable story line so you would lose interest once it reaches the end!Apart from Nikhil and others best performance, the concept which is to turn an atheist to a believer and a follower is the main reason of this movie's success!You would enjoy it if you are spiritual and religious!I'm a fan of Nikhil's work so as usual I expected more from this movie...., and may be that lead to my disappointment! This part would not stand a chance against the first one!This one is plane, with a few illogical scenes here and there (not acceptable), predictable story line so you would lose interest once it reaches the end!Apart from Nikhil and others best performance, the concept which is to turn an atheist to a believer and a follower is the main reason of this movie's success!You would enjoy it if you are spiritual and religious!",6/10,Karthikeya 2
Dhanaraj_A,13 August 2022,Fantastic,"This is a wonderful mystical adventurous film. All the characters played well... The visual effects are good considering its budget and bgm is amazing.
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",10/10,Karthikeya 2
sadmanss-16172,6 October 2022,Hipe and Expectation lost,"""Trash""
I am talking about the movie not a dumpster.Recently i have watched many movies with good VFX, along with a TRASH story. This movie is one of them. I got excited to watch this movie as people were gossiping good about the movie. But story of this movie disappointed me... As they started with a super intelligent Dr. Who can do anything. After some incident he was suspended.. but after that movie turns into a interesting plot.. but when they found the flut on top of the mountain and this story become trash. A total garbage. They jumped into a river with a truck didn't sink? Also it got full speed in the ice.They found the ""**let"" after that what ? Where did the virus go ?Wasted my time ... I had already set a list of movies to watch. I should have watched any other one of them..""TRASH""
""GARBAGE""",1/10,Karthikeya 2
shibinasks,28 October 2022,Over hyped movie.,Average movie. I started with heavy expectations as the reviews were top notch. But got disappointed as i found nothing compared to the ratings. Story line is good. But i couldn't digest the fact that they relate each and everything in the epics with science facts. They are telling the solutions for all the problems in near future is simply encoded in a bracelet which is not convincing. Making is ok. But the story thread seems incomplete here and there. They are simply putting everything they cant explain as fate which is funny. I can give 5 stars for the imagination and story and nothing more.,5/10,Karthikeya 2
syeleri2003,13 August 2022,A stunning thriller of a movie...Jai Bhagawan Shri Krishna...,"An unmissable modern day adventure thriller rooted in the history of Bhagawan Shri Krishna. Superb backgrong score, tightly coupled story and screenplay, great acting and dialogs which gives you goosebumps. Expecially the superbly written and extremely well delivered dialog on multidimensional personality of Bhagavan Shri Krishna, that was my favorite part of the movie. Having been read multiple version of Mahabharatha, it was such a striking moment to witness a movie brining up these vibrant facts of Shri Krishna in such a glorious way.This is a must watch... 😁😁😁😁 Loved it...
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",9/10,Karthikeya 2
premrock-96363,9 October 2022,Overhyped movie,"After so much fuss I watched this movie. What the hell was I watching. They are trying to mix Indiana Jones and also religious angle in a thriller moviesUnfortunately our country nis in such a situation they need such things more than the content and story.Bira actor jumping from here and there .lol hats of too the people who are rating this movie as goodOverhyped movie. Bad acting and the editing n VFX s bad. This was just a hit bcz people from other states viewed it as a religious angle. People still don't realise producers are looting money just like current politicians by playing religious angle.😒
                
                    6 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",2/10,Karthikeya 2
ranjithpaulbios,30 August 2022,Overrated! ! ! !,"The film goes around mythology and fictional not history.. people are just being fooled around about the stories without evidences..
The story is just fictional... I repeat it just fictional.. the story and screenplay are very bad.. just bcoz of religion and bjp things around now a days the film is going crazy around foolish people.. it's just overrated!!!Overrated
Overrated.Dialogues, story telling and writings doesn't make fictional things into history.. history is evidence..And the stupid things in the movie are sci fi things of snakes.. car drive on ice.. and ROFL thing is dwaraka connection to Atlantic Ocean..
                
                    18 out of 28 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",1/10,Karthikeya 2
forthetollferry,28 August 2022,Nonsensical,"Two stars for the scenery and Hindu-themed CGI, as the rest was just grating and frankly nonsensical, with short interrupted scripts, blaring music, and phony acting. The transition between scenes is abrupt and it's almost like the objective of the film was just do whatever to make the protagonist look good, story be damned. It made me wonder if the producer and crew had ever studied cinematography or at least the art of storytelling because I think even I could produce a story that is nominally compelling, not something that just makes you eager to leave.Coming off a high from seeing Sita Ramam, I thought this would be of a similar caliber given the high rating it has. I just don't get it. Maybe it's Hindu adherents who were swayed by the religious sentiment in this film that have made it thus.
                
                    9 out of 14 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",2/10,Karthikeya 2
amishaprasad,23 August 2022,Worst movie I have ever watched,"Bad. It was such a boring story. Although the places were nice enough, it didn't help the story much. It fell flat. I think people are starved by not watching other movies that's why they think this is soo great and rating it so high. This was phenomenally bad and no argument can change that. Waste of time.
                
                    21 out of 37 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",1/10,Karthikeya 2
